Type,Value,Description,
sha256,0a052eff71641ff91897af5bdecb4a98ed3cb32bcb6ff86c4396b1e3ceee0184,Avaddon Ransonware,
sha256,0ff4058f709d278ed662719b9627618c48e7a656c59f6bfecda9081c7cbd742b,Avaddon Ransonware,
sha256,146e554f0d56db9a88224cd6921744fdfe1f8ee4a9e3ac79711f9ab15f9d3c7f,Avaddon Ransonware,
sha256,165c5c883fd4fd36758bcba6baf2faffb77d2f4872ffd5ee918a16f91de5a8a8,Avaddon Ransonware,
sha256,28adb5fa487a7d726b8bad629736641aadbdacca5e4f417acc791d0e853924a7,Avaddon Ransonware,
sha256,2946ef53c8fec94dcdf9d3a1afc077ee9a3869eacb0879cb082ee0ce3de6a2e7,Avaddon Ransonware,
sha256,29b5a12cda22a30533e22620ae89c4a36c9235714f4bad2e3944c38acb3c5eee,Avaddon Ransonware,
sha256,331177ca9c2bf0c6ac4acd5d2d40c77991bb5edb6e546913528b1665d8b501f3,Avaddon Ransonware,
sha256,46a8c1e768f632d69d06bfbd93932d102965c9e3f7c37d4a92e30aaeca905675,Avaddon Ransonware,
sha256,5252cc9dd3a35f392cc50b298de47838298128f4a1924f9eb0756039ce1e4fa2,Avaddon Ransonware,
sha256,61126de1b795b976f3ac878f48e88fa77a87d7308ba57c7642b9e1068403a496,Avaddon Ransonware,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,3250fb97394e8b6d088d0f9d5e0059cb7f0814abb06d62a1f17e7c8379bc6a2f
,,,0684a9086596ddfac1030235edc4f15fe6b3d776c0ddceb7daabfff0493b6cfd
,,,cdbdbf2f5dca6399207692fe07bd6d34b45c12c983c3177dea13ea62c196d2fc
,,,5b8b7874a82e167ae53203feb4a1a3c3e771f2605d68c952c38343de93d4cc22
,,,a6ec8c5e851c38cd6d68176817d6ec873c0f31c43c5cf93264749f3e28f62fd1
,,,47a16afd03cc206a96000d3d5c6d34b3167abda5ffb8458a601e6b079a948dc5
,,,aa2e06be6aed2cf9a4445cc3a239fb87e069e5e693c555e1e2a651970f725af5
,,,c21f65787680292accc16e24d5b16770a01d2acb203f345d49ce4d0e3fb9e9ed
,,,73d1283221b18ac00cdd1929d75aefe1275757cac85115a1b2b4bedd9b6d633f
,,,59c58dbc3db3ee5272dbc30fe0cb564bbe78077a12fdcd3f13dd70b8c54b39ae
,,,072b9835547e61b6343e7f84b097fb72a5fdadf52796bafb7a0f432803c706e5
,,,c710a758e435833ce57d01e1544e97a38f212e729aa10aa4f704247fe6fa6768
,,,254e7a333ecee6d486b4f8892fe292fb7ba1471fe500651c1ba3e7ff5c9e03c8
,,,8978e5d20e1afe956a584d5344df91f1ccb9b1f1cff1d8980780982e41ad98eb
,,,5739549850fe635fc0ac5de81ce1fd495669fcabc1b8ede35b82a22093c86399
,,,3cb2d07f61fad85620e2a95cd3270485217dcfd12d24639aa2ec52cfdd582576
,,,bd2679e4de60cf68024c638b5ae8d741d89f45e56912f6881e1647efa7c69c43
,,,191c372af20a9affa1f9acb522cb7af2e0b3cd0d38e4a88c1c2224a75ac35ded
,,,e14f7637046b51e8af4abb488a8e0502e88bfa65ed6dde739ba110522c37b4e4
,,,bc127c83868191ac9bd372aafb9bcfda53bff567d3431c00c407990575833a55
,,,5ea4afa17f5981a8674492ce7ff693ad1f2fa478e91dad2ae8b4d3aa972a68d8
,,,52a1ca4e65a99f997db0314add8c3b84c6f257844eda73ae6e5debce6abc2bd4
,,,9a48cf76c1af0f6fca5187d0db6bd51db917b4b0449a881a49c9779f735a5dd0
,,,49fc9cc1f8a27ad6e6d0884593346728fee335380832416cd379845c5f9aead2
,,,18d347001057c68c4f2ad1d2f5af73e2dfa69aa46466fa43b40d7da360b79c01
,,,b4802a308b7a24f86bb79cf799ab20d77d1a2ef185223d48f22d0e420fd0af15
,,,fa71ac5dda1c04312d3c292a6890483cd065bfc9ab5fa386d9f16e03b14686d5
,,,8cc6ff52612e6a2bff393b470444f73f956486e47228425e35441d93fa0df50c
,,,784cc0b18bd9e4e5d690035ebb67283b01f2d36ce01f6768ac4951d9b24d00dd
,,,ace8788bc05565b676b3076ad3851ede39b3eab8dc7f42584faea11b81110cde
,,,1d97a86749ec0722a4c352d8f6c043162a76a1e5e0e571cf266aa4f8e962f0f6
,,,45e7fac19849d212922933792928cdf126e87e541d9d3f6d76554c5dd436e7ee
,,,6dc495b9347b1e83499a07826de86db91c3d1e6917e4ca7003fd9d9097842079
,,,5f49b4e7f7eb260f41776f02600f71acd1283659f3974c62af92ecdba8289d1d
,,,bce77d91ff59b5bfe613365aa5ede0060f14b7a5109913925dfff79ee18b5721
,,,282555445d20d6d6d77e8a8c0a74247209646e84aa0a394edb9a4b8b9b405b74
,,,bca471088a9a4780104d2f124ede682082e7e765e8e9b8dbb6ab693162b211b5
,,,acdf910feacbb2bd9d88a38aff07603090324ac32fedb85494203db8dbf58d15
,,,8219f136544c2f7163cbbbff0dc3e530de966a36d2cb09dc68e888f2896411f9
,,,f5dd7382af6ccc0d9682caf40aef2fafce6976c70fbc90051e217503f4a10cf4
,,,553cece4cdca4307e5a95f6902260a3521ba161b135ed3bdf9a106982204101b
,,,b52ab99bfffffe1e69d4fdb8c9ce1b79f730a4ad0669019aed34ca101878dd86
,,,ac0f42342372309bdec283a5e9a2dc09f08e0bb6d8f02bf28e571ceff9e1ba03
,,,a1c8e6fab5fdab794cd7ee07635a1d535f058b98e1518133d814134ec03c5e7d
,,,911077400d172dc1ad24f615e0061b06e2c3f9f9116c64365393e3e2a7637a92
,,,f7278cd22070f0418ac75b599b8bcc524ee9d6adbda4103d149c9484cdaeb4f3
,,,546bf4fc684c5d1e17b204a28c795a414124335b6ef7cbadf52ae8fbadcb2a4a
,,,873db357ddc8fdb63ba10d6dd95e24b6edf637a497b2a497c430d83eb26602fc
,,,73f7a58f9f2757ec6f40e5469bea825e021c366d75e73d738dfacefedc16adb4
,,,da679172574eee4b5ec01a52e90ed91a2d2589d3bc370f4e690b041e97e6c3b6
,,,b328fd084907bc60e26e838aad610c80cadff5b97ba0db744431a501714f3b54
,,,5e18230b399ae28f6e97422e8201a067e5e8cbba1588c9178db5c5302c0a7f02
,,,92796e61f7a47521210edfc5e7e2004975ede13b836787b07dde85f80750b0ff
,,,a63dd3dbfa51fd26ddb172a6436bd110d4d52259c5f1f728fed89da579d87140
,,,b4a133e95c83df8dcf155cc4111d84cbee23484ec3279a9629f269202ef6618e
,,,d5440b90f2392f378b84be359201cb2870681d9483ec692bd16a8b00ec22122b
,,,c3457eb60832736c418ee2d783c4576ce1b8f16ab4f27151ff2d185fcce1333a
,,,6500190bf8253c015700eb071416cbe33a1c8f3b84aeb28b7118a6abe96005e3
,,,ff73adf0909e1cdae460ea5700f6ec19216d8c720b258db945edeec034ad313c
,,,43b11df695c06699fb9d9752b13eb69f0796a56b162c94b2ca7b836af9d09af7
,,,cd7523c45ec547a87696c50e746768e54a0211a4ccc4709c120e895facb8cc92
,,,9fc1bb9fc07b82f05ac5466954d2dfdbdb805b66cde78225314094c7a3f55ce8
,,,97635467aa2aeb39e4f9a284c02a1911a54fa910fa520c10ed6258af3dc02954
,,,bc1429bf4af71b89c060feaa6eff695e579818da77d15c271b20f603222bb688
,,,4cd7f7b5ded3d32093c987ec1745db86fe0fb8d09c4a8df8d3caddd0d187887c
,,,4d0efa2037acb3cb7d16802f8c1c8304ffecf48b2ec68f681c98149db4cb4b67
,,,4640b50c1991d7e750e626bb51021ae31b3d38f696c4b2424c31eb08713e29e7
,,,4065c8bc283bffcaa085a45ce3bb7a48139271bd33e2d4516fd313ece90de663
,,,8385aa79c0e400d316ca4a418a026558d2fa88e314541900b698d8294b84ca0c
,,,50e922bda3f49a66393073edc634321e65c1eef6b0db6777109e0e3ebb4f9864
,,,428fa503b31fe19c0e4e16fad73fd2c21b777a940a586497c2a46f3dd7c124c5
,,,59bbe1405371513d8e764cf588543a5bb3967fa9ab51c1b2226d55f5172398ae
,,,ad09f9dfb12e1ffa7994b2003fbefd3cab7a78ee5ceb224783691331cf1e58aa
,,,2c446cad1e15d82521022281b81f905867e33e9ae33c3e7e4959972d40230775
,,,fe667e85a5392e684731b7e67f6d1ae530c02602fdd6eb25d1618db53ebefe49
,,,637a96cc3ec4122bdf7f3da6b0db66230cfef27fcaf3d4630a691a453cbd77d9
,,,1fdad91368a41ff4b77ed28735b7ad9adfbb18ae3bd42fdcb8cefd51a17a59f7
,,,f925992c595bc1854bf937ef337e68ce41437ac313f3fbeaa8ce34b6f10bc909
,,,48c5444eec7af2ca92123b6409debcb294a57828b33cab86c802fadec254e0c3
,,,467d7d5ef8e483037f03ac127fb4f6f6f806e3084bba8dddad88c5e197e68df3
,,,d1a78f410db73b2c7d7e801d27bed0f724ca2c1426e98aaf1b8765e26299da0f
,,,addd9259129f2ef2cf3abb3be651dc75648fb9e77797b2db57800cfd685ef230
,,,fdcca9b9b165bd8d77f077a1942b15e0d1689c5d1f3566c8ebc9fa22b5f115f4
,,,aa25b37be9aaedb0109e2ea9838ede0534060d94cdb23bf58b32995d2eb6e627
,,,05861d4c28f4773b7d0ee8db599d823d41c740e9a6551cf182b8d611a23f9ba2
,,,a5478f4ddb95b5f0f0ba3963a11e86bc3dfc564bc61231b586fe2d0770363293
,,,019c442947e05e36fd4badb21b3e22ff573fbb10ec30fd09745819fef1b50ad1
,,,f13f56e445783dd16c3d1e85c85d824c70db048bf06a1602cd16fe4fd8825dfe
,,,5a3dcca35ca63245311fd9c73ad06d59e0a13e639023ddb941d7fba972d502ec
,,,9e76980bf46e67c2cd318a74a7aa58328dfa7442d346fbb96206bebb8ed58eaf
,,,cbdb6fcad7b5bfac109b793d2e88abfc226c9118bf0e461da73b57ae042061d5
,,,8b89d6977a34284b87be5457560205d9d269418a88f4c6c4ee09bf2defc5af72
,,,b03090f719a0abb99aafd1be67aeba46994bc673dd063b2755c191c3b055cd1b
,,,06a826eab752b67379b320b80117e2e58e80dc728ca6e59c7db4aeeccd358f03
,,,e19569b19026839ae8b871a61e56068d4a86d3b597133ebbdd1382e3ab9e6a94
,,,3e7539affd19819ddfe6ce67f4ee2c1d6656f7cbb758d78db98e3dc50fce56a5
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
